KYMCO
CRANE CARRIER
VICTORY
REQUIRES INTERPRETATION
WESTERN STAR
JOHN DEERE
THOMAS
ALL OTHER MAKES
SMART
GILLIG
STERLING
SAAB
GEO
NEW FLYER
HINO
OTHER (EXPLAIN IN NARRATIVE)
